case_id,reference_suite,expected_semantics,result,raw_detection_count,strict_candidate_count,reobserve_candidate_count,merged_split_candidate_count,max_confidence,annotation
native3d_shape_01_red_sphere_control,official_simenv_20260705_3d_red_shape_distractors,strict_candidate_required,pass,1,1,0,0,0.9585,images/native3d_shape_01_red_sphere_control_current_detector.png
native3d_shape_02_red_cube,official_simenv_20260705_3d_red_shape_distractors,no_strict_candidate_required,pass,0,0,0,0,0.0,images/native3d_shape_02_red_cube_current_detector.png
native3d_shape_03_red_cuboid_wide,official_simenv_20260705_3d_red_shape_distractors,no_strict_candidate_required,pass,0,0,0,0,0.0,images/native3d_shape_03_red_cuboid_wide_current_detector.png
native3d_shape_04_red_cylinder,official_simenv_20260705_3d_red_shape_distractors,must_trigger_multiview_shape_recheck,review,1,0,1,0,0.3918,images/native3d_shape_04_red_cylinder_current_detector.png
native3d_shape_05_red_flat_panel,official_simenv_20260705_3d_red_shape_distractors,no_strict_candidate_required,pass,0,0,0,0,0.0,images/native3d_shape_05_red_flat_panel_current_detector.png
native3d_shape_06_mixed_red_shapes,official_simenv_20260705_3d_red_shape_distractors,contains_sphere_and_shape_recheck,review,1,1,0,0,0.9554,images/native3d_shape_06_mixed_red_shapes_current_detector.png
