case_id,condition,expected_red_ball_count,detected_red_ball_count,true_positive,false_positive,false_negative,result,elapsed_ms,annotated_image
distractor_stress_01_green_blue_yellow_balls,green_blue_yellow_balls,1,1,1,0,0,pass,4.89,images/official_simenv_distractor_stress_01_green_blue_yellow_balls_detected.png
distractor_stress_02_red_boxes_only,red_boxes_only,0,0,0,0,0,pass,5.11,images/official_simenv_distractor_stress_02_red_boxes_only_detected.png
distractor_stress_03_red_box_near_red_ball,red_box_near_red_ball,1,1,1,0,0,pass,5.035,images/official_simenv_distractor_stress_03_red_box_near_red_ball_detected.png
distractor_stress_04_mixed_color_balls,mixed_color_balls,2,2,2,0,0,pass,4.765,images/official_simenv_distractor_stress_04_mixed_color_balls_detected.png
distractor_stress_05_dark_with_red_boxes,dark_with_red_boxes,2,2,2,0,0,pass,4.229,images/official_simenv_distractor_stress_05_dark_with_red_boxes_detected.png
distractor_stress_06_small_far_red_and_distractors,small_far_red_and_distractors,1,1,1,0,0,pass,4.768,images/official_simenv_distractor_stress_06_small_far_red_and_distractors_detected.png
distractor_stress_07_low_saturation_red_distractor,low_saturation_red_distractor,2,2,2,0,0,pass,5.998,images/official_simenv_distractor_stress_07_low_saturation_red_distractor_detected.png
distractor_stress_08_cluttered_corner,cluttered_corner,3,3,3,0,0,pass,6.317,images/official_simenv_distractor_stress_08_cluttered_corner_detected.png
