case_id,category,expected_red_ball_count,expected_outcome,candidate_count,confirmation_eligible_count,reobservation_candidate_count,flat_depth_suppressed_count,confirmed_count,localization_ready,result,elapsed_sec,annotated_image,raw_image,snapshot,detector_log,note
case_01_near_sphere,完整球体正例,1,confirmable,1,1,0,0,0,True,pass,7.504,images/case_01_near_sphere_annotated.png,images/case_01_near_sphere_raw.png,images/case_01_near_sphere_snapshot.json,logs/case_01_near_sphere_detector.log,近距离完整红球，验证 RGB-D 定位链路。
case_02_far_sphere,远距离球体正例,1,confirmable,1,1,0,0,0,True,pass,7.472,images/case_02_far_sphere_annotated.png,images/case_02_far_sphere_raw.png,images/case_02_far_sphere_snapshot.json,logs/case_02_far_sphere_detector.log,远距离完整红球，验证球心投影补偿。
case_03_partial_occlusion,FOV 边缘局部可见,1,reobserve_only,1,0,1,0,0,True,pass,7.679,images/case_03_partial_occlusion_annotated.png,images/case_03_partial_occlusion_raw.png,images/case_03_partial_occlusion_snapshot.json,logs/case_03_partial_occlusion_detector.log,约 40% 可见球应保留待复查候选，不能单帧确认。
case_04_red_cube,红色立方体干扰,0,reject_or_reobserve,0,0,0,0,0,True,pass,7.985,images/case_04_red_cube_annotated.png,images/case_04_red_cube_raw.png,images/case_04_red_cube_snapshot.json,logs/case_04_red_cube_detector.log,红色立方体不能成为 confirmed 危险源。
case_05_red_cylinder_face,圆柱端面干扰,0,reject_or_reobserve,1,0,0,1,0,True,pass,8.187,images/case_05_red_cylinder_face_annotated.png,images/case_05_red_cylinder_face_raw.png,images/case_05_red_cylinder_face_snapshot.json,logs/case_05_red_cylinder_face_detector.log,近圆形圆柱端面须由深度几何抑制确认。
case_06_red_panel,红色平板干扰,0,reject_or_reobserve,1,0,1,1,0,True,pass,7.828,images/case_06_red_panel_annotated.png,images/case_06_red_panel_raw.png,images/case_06_red_panel_snapshot.json,logs/case_06_red_panel_detector.log,红色薄板不能成为 confirmed 危险源。
case_07_multi_separated,分离多球,3,confirmable,4,4,0,0,0,True,pass,7.732,images/case_07_multi_separated_annotated.png,images/case_07_multi_separated_raw.png,images/case_07_multi_separated_snapshot.json,logs/case_07_multi_separated_detector.log,三个分离红球验证多目标计数。
case_08_touching_pair,粘连双球,2,reobserve_or_split,2,2,0,0,0,True,pass,7.657,images/case_08_touching_pair_annotated.png,images/case_08_touching_pair_raw.png,images/case_08_touching_pair_snapshot.json,logs/case_08_touching_pair_detector.log,验证 Hough/分水岭分离；未完全分离时应触发复查。
