case_id,reference_suite,expected_semantics,result,raw_detection_count,strict_candidate_count,reobserve_candidate_count,merged_split_candidate_count,max_confidence,annotation
native3d_official_red00_complete,official_simenv_20260705_native_3d_validation,complex_room_single_target_presence_only,recorded_not_scored,2,2,0,0,0.9604,images/native3d_official_red00_complete_current_detector.png
native3d_official_red00_fov_left_partial,official_simenv_20260705_native_3d_validation,complex_room_single_target_presence_only,recorded_not_scored,2,2,0,0,0.9245,images/native3d_official_red00_fov_left_partial_current_detector.png
native3d_official_red00_fov_right_partial,official_simenv_20260705_native_3d_validation,complex_room_single_target_presence_only,recorded_not_scored,2,2,0,0,0.923,images/native3d_official_red00_fov_right_partial_current_detector.png
native3d_official_red00_fov_top_partial,official_simenv_20260705_native_3d_validation,complex_room_single_target_presence_only,recorded_not_scored,2,2,0,0,0.932,images/native3d_official_red00_fov_top_partial_current_detector.png
native3d_official_red_box_distractor,official_simenv_20260705_native_3d_validation,complex_room_single_target_presence_only,recorded_not_scored,1,1,0,0,0.8524,images/native3d_official_red_box_distractor_current_detector.png
native3d_spawned_10_red_with_distractors,official_simenv_20260705_native_3d_validation,10_merged_sphere_candidates_required_before_multiview_confirmation,pass,10,0,10,10,0.9972,images/native3d_spawned_10_red_with_distractors_current_detector.png
native3d_spawned_multi_red_oblique_view,official_simenv_20260705_native_3d_validation,oblique_multi_ball_count_needs_multiview_truth_matching,recorded_not_scored,6,2,4,4,1.0,images/native3d_spawned_multi_red_oblique_view_current_detector.png
