case_id,description,expected_red_ball_count,strict_candidate_count,partial_reobservation_count,flat_depth_suppressed_count,raw_red_pixel_count,baseline_red_pixel_count,actual_red_pixel_ratio,target_visible_ratio,localization_error_m,localization_ready,result,annotated_image,snapshot,note,elapsed_sec
native3d_rgbd_shape_sphere_control,红球正例,1,1,0,0,7255,0,7255.0,,,True,pass,images/native3d_rgbd_shape_sphere_control_annotated.png,snapshots/native3d_rgbd_shape_sphere_control_snapshot.json,"{""shape_case"": ""sphere_control""}",9.659
native3d_rgbd_shape_cube,红色立方体,0,0,0,0,10960,0,10960.0,,,True,pass,images/native3d_rgbd_shape_cube_annotated.png,snapshots/native3d_rgbd_shape_cube_snapshot.json,"{""shape_case"": ""cube""}",7.721
native3d_rgbd_shape_cuboid,红色长方体,0,0,0,0,12366,0,12366.0,,,True,pass,images/native3d_rgbd_shape_cuboid_annotated.png,snapshots/native3d_rgbd_shape_cuboid_snapshot.json,"{""shape_case"": ""cuboid""}",7.827
native3d_rgbd_shape_cylinder_face,红色圆柱端面正对相机,0,0,0,1,7725,0,7725.0,,,True,pass,images/native3d_rgbd_shape_cylinder_face_annotated.png,snapshots/native3d_rgbd_shape_cylinder_face_snapshot.json,"{""shape_case"": ""cylinder_face""}",7.9
native3d_rgbd_shape_cylinder_side,红色圆柱侧面,0,0,0,0,13871,0,13871.0,,,True,pass,images/native3d_rgbd_shape_cylinder_side_annotated.png,snapshots/native3d_rgbd_shape_cylinder_side_snapshot.json,"{""shape_case"": ""cylinder_side""}",7.656
native3d_rgbd_shape_flat_panel,红色平板,0,0,0,0,12059,0,12059.0,,,True,pass,images/native3d_rgbd_shape_flat_panel_annotated.png,snapshots/native3d_rgbd_shape_flat_panel_snapshot.json,"{""shape_case"": ""flat_panel""}",7.835
native3d_rgbd_shape_sphere_cylinder_mixed,红球与圆柱端面混合,1,1,0,1,15202,0,15202.0,,,True,pass,images/native3d_rgbd_shape_sphere_cylinder_mixed_annotated.png,snapshots/native3d_rgbd_shape_sphere_cylinder_mixed_snapshot.json,"{""shape_case"": ""sphere_cylinder_mixed""}",7.78
native3d_rgbd_shape_sphere_panel_mixed,红球与平板混合,1,1,0,0,15627,0,15627.0,,,True,pass,images/native3d_rgbd_shape_sphere_panel_mixed_annotated.png,snapshots/native3d_rgbd_shape_sphere_panel_mixed_snapshot.json,"{""shape_case"": ""sphere_panel_mixed""}",8.022
