case_id,description,expected_red_ball_count,strict_candidate_count,partial_reobservation_count,flat_depth_suppressed_count,raw_red_pixel_count,baseline_red_pixel_count,actual_red_pixel_ratio,target_visible_ratio,localization_error_m,localization_ready,result,annotated_image,snapshot,note,elapsed_sec
native3d_rgbd_multi_01_red,1 个均匀分离的受控红球,1,1,0,0,1874,0,1874.0,,,True,pass,images/native3d_rgbd_multi_01_red_annotated.png,snapshots/native3d_rgbd_multi_01_red_snapshot.json,"{""target_count"": 1, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.896
native3d_rgbd_multi_02_red,2 个均匀分离的受控红球,2,2,0,0,3761,0,3761.0,,,True,pass,images/native3d_rgbd_multi_02_red_annotated.png,snapshots/native3d_rgbd_multi_02_red_snapshot.json,"{""target_count"": 2, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.738
native3d_rgbd_multi_03_red,3 个均匀分离的受控红球,3,3,0,0,5645,0,5645.0,,,True,pass,images/native3d_rgbd_multi_03_red_annotated.png,snapshots/native3d_rgbd_multi_03_red_snapshot.json,"{""target_count"": 3, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.795
native3d_rgbd_multi_04_red,4 个均匀分离的受控红球,4,4,0,0,7568,0,7568.0,,,True,pass,images/native3d_rgbd_multi_04_red_annotated.png,snapshots/native3d_rgbd_multi_04_red_snapshot.json,"{""target_count"": 4, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.771
native3d_rgbd_multi_05_red,5 个均匀分离的受控红球,5,5,0,0,9513,0,9513.0,,,True,pass,images/native3d_rgbd_multi_05_red_annotated.png,snapshots/native3d_rgbd_multi_05_red_snapshot.json,"{""target_count"": 5, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.723
native3d_rgbd_multi_06_red,6 个均匀分离的受控红球,6,6,0,0,11467,0,11467.0,,,True,pass,images/native3d_rgbd_multi_06_red_annotated.png,snapshots/native3d_rgbd_multi_06_red_snapshot.json,"{""target_count"": 6, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.717
native3d_rgbd_multi_08_red,8 个均匀分离的受控红球,8,8,0,0,15395,0,15395.0,,,True,pass,images/native3d_rgbd_multi_08_red_annotated.png,snapshots/native3d_rgbd_multi_08_red_snapshot.json,"{""target_count"": 8, ""radius_m"": 0.08, ""spacing_m"": 0.18}",7.708
native3d_rgbd_multi_10_red,10 个均匀分离的受控红球,10,10,0,0,19281,0,19281.0,,,True,pass,images/native3d_rgbd_multi_10_red_annotated.png,snapshots/native3d_rgbd_multi_10_red_snapshot.json,"{""target_count"": 10, ""radius_m"": 0.08, ""spacing_m"": 0.16}",7.806
native3d_rgbd_touching_pair,两个相切红球,2,2,0,0,176372,0,176372.0,,,True,pass,images/native3d_rgbd_touching_pair_annotated.png,snapshots/native3d_rgbd_touching_pair_snapshot.json,"{""target_count"": 2, ""touching"": true}",8.353
